id,name,short_name,lat,lon,A1,A2,A3,A4,phone,email,url,google_business_id,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,hours_special,stops
8400000000000011,Espaço navegante® Carris Metropolitana Sintra,Sintra,38.802620,-9.380933,1,0,0,0,210410400,,https://www.carrismetropolitana.pt/encm,18318522051718285216,Avenida Doutor Desidério Cambournac 3A,2710-553,Sintra,28,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",1111,Sintra,1111,11,Lisboa,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,171313|171314|171383|171384
8400000000000012,Espaço navegante® Carris Metropolitana Vila Franca de Xira,Vila Franca de Xira,38.955584,-8.989038,0,1,0,0,210410400,,https://www.carrismetropolitana.pt/encm,14323542095706718299,R. Almeida Garrett 74,2600-095,Vila Franca de Xira,9,Vila Franca de Xira,1114,Vila Franca de Xira,1114,11,Lisboa,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,180079|180291|180359|180765
8400000000000013,Espaço navegante® Carris Metropolitana Mafra,Mafra,38.940563,-9.334770,0,1,0,0,210410400,,https://www.carrismetropolitana.pt/encm,13009095889222815682,Rua Santa Casa da Misericórdia 8,2640-500,Mafra,9,Mafra,1109,Mafra,1109,11,Lisboa,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,080207|080208|080965|082320|082321|082322
8400000000000014,Espaço navegante® Carris Metropolitana Rio de Mouro,Rio de Mouro,38.780600,-9.322337,1,0,0,0,210410400,,https://www.carrismetropolitana.pt/encm,16050654872627688444,"Mercado Municipal, Av. Gil Eanes 5 loja 14",2635-003,Rio de Mouro,8,Rio de Mouro,1111,Sintra,1111,11,Lisboa,PT170,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,,170069|170070|170071|170671|170672
8400000000000015,Espaço navegante® Carris Metropolitana Brejos de Azeitão,Brejos de Azeitão,38.536640,-9.024649,0,0,0,1,210410400,,https://www.carrismetropolitana.pt/encm,4290748457571668790,Rua de Lisboa 281,2925-555,Brejos de Azeitão,9,União das freguesias de Azeitão (São Lourenço e São Simão),1512,Setúbal,1512,15,Setúbal,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,160757|160758|160781
8400000000000016,Espaço navegante® Carris Metropolitana Palmela,Palmela,38.570287, -8.904848,0,0,0,1,210410400,,https://www.carrismetropolitana.pt/encm,11297129213218919509,R. Dona Maria I 12,2950-214,Palmela,2,Palmela,1508,Palmela,1508,15,Setúbal,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,130801|130802|130803|130804|130805|130806|130807|130808|130809|130810
8400000000000017,Espaço navegante® Carris Metropolitana Sesimbra,Sesimbra,38.445538,-9.099908,0,0,1,0,210410400,,https://www.carrismetropolitana.pt/encm,9406048998738860595,"Terminal Rodoviário de Sesimbra, Avenida da Liberdade",2970-635,Sesimbra,2,Sesimbra (Santiago),1511,Sesimbra,1511,15,Setúbal,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,150051|150052|150423|150455
8400000000000018,Espaço navegante® Carris Metropolitana Alverca,Alverca,38.898039,-9.037476,0,1,0,0,210410400,,https://www.carrismetropolitana.pt/encm,5609572153413504251,"Centro Comercial Avenida, Av. Cap. João de Almeida Meleças 29",2615-097,Alverca do Ribatejo,13,União das freguesias de Alverca do Ribatejo e Sobralinho,1114,Vila Franca de Xira,1114,11,Lisboa,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,180053|180054|180055|180099|180143|180193
8400000000000019,Espaço navegante® Carris Metropolitana Caneças,Caneças,38.813354,-9.226509,0,1,0,0,210410400,,https://www.carrismetropolitana.pt/encm,14718521419647458075,Praça Doutor Manuel de Arriaga 6,1685-577,Caneças,10,União das freguesias de Ramada e Caneças,1116,Odivelas,1116,11,Lisboa,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,110027|110059|110167|110172
8400000000000020,Espaço navegante® Carris Metropolitana Sacavém,Sacavém,38.791869,-9.107501,0,1,0,0,210410400,,https://www.carrismetropolitana.pt/encm,5642842152536540409,Largo 1º de Maio 1,2685-099,Sacavém,27,União das freguesias de Sacavém e Prior Velho,1107,Loures,1107,11,Lisboa,PT170,09:00-12:30|13:30-18:00,09:00-12:30|13:30-18:00,09:00-12:30|13:30-18:00,09:00-12:30|13:30-18:00,09:00-12:30|13:30-18:00,,,,070681|070682|070683|070684|070699|071275|071276|071503
8400000000000021,Espaço navegante® Carris Metropolitana Bucelas,Bucelas,38.900981,-9.118297,0,1,0,0,210410400,,https://www.carrismetropolitana.pt/encm,14297067089809953638,R. Marques de Pombal 8,2670-655,Bucelas,2,Bucelas,1107,Loures,1107,11,Lisboa,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,071273|072214|070135|
8400000000000022,Espaço navegante® Carris Metropolitana Carnaxide,Carnaxide,38.725551,-9.241811,1,0,0,0,210410400,,https://www.carrismetropolitana.pt/encm,15192471305165954616,Rua Fernão Lopes 6 A,2790-130,Carnaxide,13,União das freguesias de Carnaxide e Queijas,1110,Oeiras,1110,11,Lisboa,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,120047|120277|120415|120103
8400000000000023,Espaço navegante® Carris Metropolitana Costa da Caparica,Costa da Caparica,38.643622,-9.232415,0,0,1,0,210410400,,https://www.carrismetropolitana.pt/encm,17869671223144492020,Rua Ercília Costa 6,2825-322,Costa da Caparica,3,Costa da Caparica,1503,Almada,1503,15,Setúbal,PT170,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,,020661|020733|020639|020703
8400000000000024,Espaço navegante® Carris Metropolitana Alcochete,Alcochete,38.753753,-8.959709,0,0,0,1,210410400,,https://www.carrismetropolitana.pt/encm,2587002840107636521,Rua Prof. Santos Nunes 27,2890-027,Alcochete,1,Alcochete,1502,Alcochete,1502,15,Setúbal,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,010001|010002|010079|010080
8400000000000025,Espaço navegante® Carris Metropolitana Amora,Amora,38.622554,-9.127457,0,0,1,0,210410400,,https://www.carrismetropolitana.pt/encm,7373308977489628671,Rua Joaquim Valentim Correia 7,2845-156,Amora,2,Amora,1510,Seixal,1510,15,Setúbal,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,140211|140212|140213|140307
8400000000000026,Espaço navegante® Carris Metropolitana Moita,Moita,38.652908,-8.993568,0,0,0,1,210410400,,https://www.carrismetropolitana.pt/encm,18265263537492983991,Praça da República 24,2860-461,Moita,3,Moita,1506,Moita,1506,15,Setúbal,PT170,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,090057|090058
